date,NGE_all,NGE_DITM,NGE_ITM,NGE_ATM,NGE_OTM,NGE_DOTM
2022-02-25,44426.75912465248,-570580.260235165,425407.4798382907,193961.39221814973,-1537019.6729829526,1532657.8202863303
2022-02-28,142960.21432740334,-564918.4789191324,-1042713.700022498,-226021.4353050528,556723.0572707152,1419890.771303371
2022-03-01,540325.9069601214,-43382.07180003033,-487906.8558304551,82952.70942215063,1036540.3900267193,-47878.264858262846
2022-03-02,339222.2864257684,13802.504138433753,-532460.2278450881,100934.87934918702,901726.5628400897,-144781.43205685285
2022-03-03,607590.9525509905,677.5790839804977,-530396.9184678411,145684.05197866308,1091689.142347921,-100062.90239173267
2022-03-04,269044.9213898638,-549649.3601011346,-1232916.0800428467,-231641.52634970524,790478.179886309,1492773.7079972406
2022-03-07,965702.5005613929,-465690.9025908654,-1363450.2362632721,-771556.9199596834,2197402.533846856,1368998.0255283548
2022-03-08,1241055.914873708,-1186679.7909859614,-1426467.8782260546,-897634.6962730386,1402034.297401539,3349803.9829572234
2022-03-09,1328349.3607045868,-957487.9447642677,-1830866.9006654383,-445474.799288847,1618889.3862278918,2943289.61919525
2022-03-10,2946201.4795655655,-760138.5531839861,-1077381.8864182262,39719.41674718354,1950909.1297169551,2793093.3727036375
2022-03-11,1732424.5768681644,-1342922.6452522657,-1474295.5967185334,-181995.54944290267,1556141.2814801072,3175497.0868017576
2022-03-14,2035692.8559244564,-530528.0190397725,-1428925.5139984258,227678.5578654129,1722272.7443414866,2045195.0867557563
2022-03-15,1534869.6562035177,-1794671.408222076,-528191.1324094752,-396526.5738352272,74742.55964488932,4179516.211025407
2022-03-16,2057076.0175324809,-1235785.2120016164,-491792.53611519374,-3604.9933352353983,543607.9885295286,3244650.770454999
2022-03-17,2642228.027882438,37727.315808762214,-921591.8260962366,522166.512503739,1888203.6397810446,1115722.385885131
2022-03-18,1177855.2633955926,-383425.13357676525,-1268737.1408566595,-667035.7033143439,2240463.217435259,1256590.0237081014
2022-03-21,1367921.5259641819,-183580.94718980696,-577607.8908672251,672690.440533903,705667.4620251567,750752.4614621538
2022-03-22,2341823.559844003,-2528.2951020846085,-185468.77281333553,891415.5846471535,1224875.9657898922,413529.0773223777
2022-03-23,1687051.0783686582,-67542.02080748446,-549675.5782204105,1128310.0856121453,933894.3164837593,242064.27530065004
2022-03-24,747046.5275763161,-103215.89869365652,-458005.00857841526,199393.99959532893,888636.863214138,220236.57203892153
2022-03-25,472185.6856571855,-420986.9083225143,-24475.83636418177,230463.0332788406,-297557.6336401353,984743.030705177
2022-03-28,804937.8091669865,-304102.5042567089,-844120.0448734725,29637.400354178157,1283215.4157330396,640307.5422099525
2022-03-29,783019.6988104228,-293244.2699403219,-814889.3385561476,-30726.06600139779,1283028.1559867454,638851.2173215452
2022-03-30,777225.27858504,36683.810471940786,-391690.4006782238,258573.03159106942,953336.1403527252,-79677.30315246922
2022-03-31,668787.3105894979,-13741.962414856564,-555630.7478425617,100006.3488153019,1028118.0894453141,110035.58258629893
2022-04-01,660206.3894051779,-66281.61414001754,410265.36480536684,363449.4101928589,-561873.5539886516,514646.78253562027
2022-04-06,927700.3803722933,-83689.07803967787,-47496.54559189314,256682.61812238186,453714.061602968,348489.3242785153
2022-04-07,758520.4065292701,-38242.38252486684,35011.12177420023,281562.2775654979,290246.2988047309,189943.09090970806
2022-04-08,760692.3506325539,-15641.365578034543,-35635.76354049239,284920.2389808665,362469.0637796803,164580.17699053278
2022-04-11,1591857.4324045964,-379201.9469827938,-983919.9845989934,189404.10537505103,1784188.6258858612,981386.6327254712
2022-04-12,1133266.8524441812,-347259.674947249,-1121333.3842499554,-189494.27040866227,1719409.0736096401,1071945.1084404085
2022-04-13,1446174.826294629,3708.603138305378,-322875.4611831597,573847.0632675034,1027949.7877322293,163544.8333397496
2022-04-14,1336801.224999559,41852.96271800663,110520.11446148274,344465.7854737085,685547.6175867673,154414.74475959456
2022-04-15,1186430.3697892046,-31033.046956768056,728502.8329750057,766890.7475147406,-704280.2773065781,426350.11356280395
2022-04-18,1608048.811285559,-328557.18273410463,-20735.328424321837,894474.5271841856,-280154.7752259325,1343021.570485733
2022-04-19,2218209.770894138,-191832.54544700042,-1405061.5428189612,258900.8373946827,2464937.2851163195,1091265.7366491
2022-04-20,2658649.2196588283,-249249.23533669603,-823861.7777319567,900591.046820805,2096758.4356827391,734410.7502239355
2022-04-21,1748887.0507678473,-444383.878344043,-2081143.555386235,-830790.4742567351,3934815.5385788726,1170389.420175986
2022-04-22,1944814.3748967154,-254234.30514155686,-1661408.9972025203,-490108.13203555625,3409508.548807483,941057.2604688628
2022-04-25,1488285.9550995175,-539240.9092867996,-1550185.5390215258,-487313.7077200983,2625804.567981619,1439221.5431463216
2022-04-26,1924845.3181705931,-807604.2184791962,-77714.22667989117,1114867.7215500255,-298813.3270084574,1994109.3687881103
2022-04-27,2125314.212266473,-663879.9793418604,-389743.70925956324,1147380.0194201283,526010.1485276003,1505547.73292017
2022-04-28,723611.6235790476,-443273.46106131456,-568604.7292774426,-29083.160025653662,857323.3861666871,907249.5877767733
2022-04-29,945063.1917762826,-444994.22515252244,-518193.6269167891,70651.0252333358,996578.4835466698,841021.5350655871
2022-05-05,1376433.540949733,-153874.48109855293,292783.10270261276,202855.8809097308,620338.780022297,414330.258413645
2022-05-06,748820.8246708196,-688591.1440270882,-902719.3418484513,-126352.59893560305,790234.3100074998,1676249.5994744622
2022-05-09,1044495.4563991986,-582346.0417539628,-988152.5666014284,-228060.20638290048,1600053.8198753796,1243000.45126211
2022-05-10,1237058.9612834118,-482297.20373123075,-918038.0944210056,-37897.95555693819,1605555.7452078364,1069736.4697847492
2022-05-11,1339606.6873792466,-323047.8071852326,-582826.1481230089,158660.63495585788,1453300.7805091203,633519.2272225085
2022-05-12,1049062.1420470811,-608976.0474051249,-74495.98284350825,385576.5341379284,-268246.3532632461,1615203.9914210313
2022-05-13,1204199.0217291536,-306444.4582827086,-463906.6322310911,348587.9016667679,1337270.4253670592,288691.78520912863
2022-05-16,1217620.959421616,-539377.0451737957,-893345.4344085852,24642.850321837235,1471359.9844136492,1154340.604268511
2022-05-17,740353.5783667862,-305937.20240185084,-560123.8904340636,-32737.493039399385,1303677.6820644313,335474.48217766965
2022-05-18,664477.4948806819,-573448.6044512107,50254.39569581952,501825.4003122747,-562614.2449398967,1248460.5482636935
